Unicode,Char,Name,Ascender,Descender,Symmetry,Bouba_Score
U+00D5,Õ,LATIN CAPITAL LETTER O WITH TILDE,True,False,Symmetrical,0.971
U+00D6,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,True,False,Symmetrical,1.0
U+00D7,×,MULTIPLICATION SIGN,False,False,Symmetrical,0.0
U+00D8,Ø,LATIN CAPITAL LETTER O WITH STROKE,True,False,Symmetrical,0.733
U+00D9,Ù,LATIN CAPITAL LETTER U WITH GRAVE,True,False,Symmetrical,0.652
U+00DA,Ú,LATIN CAPITAL LETTER U WITH ACUTE,True,False,Symmetrical,0.652
U+00DB,Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,True,False,Symmetrical,0.679
U+00DC,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,True,False,Symmetrical,0.833
U+00DD,Ý,LATIN CAPITAL LETTER Y WITH ACUTE,True,False,Symmetrical,0.353
U+00DE,Þ,LATIN CAPITAL LETTER THORN,True,False,Right-Pointing,0.5
U+00DF,ß,LATIN SMALL LETTER SHARP S,True,False,Right-Pointing,0.902
U+00E0,à,LATIN SMALL LETTER A WITH GRAVE,True,False,Left-Pointing,0.703
U+00E1,á,LATIN SMALL LETTER A WITH ACUTE,True,False,Left-Pointing,0.703
U+00E2,â,LATIN SMALL LETTER A WITH CIRCUMFLEX,True,False,Left-Pointing,0.714
U+00E3,ã,LATIN SMALL LETTER A WITH TILDE,True,False,Left-Pointing,0.791
U+00E4,ä,LATIN SMALL LETTER A WITH DIAERESIS,True,False,Left-Pointing,0.818
U+00E5,å,LATIN SMALL LETTER A WITH RING ABOVE,True,False,Left-Pointing,0.818
U+00E6,æ,LATIN SMALL LETTER AE,False,False,Symmetrical,0.818
U+00E7,ç,LATIN SMALL LETTER C WITH CEDILLA,False,True,Symmetrical,0.824
U+00E8,è,LATIN SMALL LETTER E WITH GRAVE,True,False,Symmetrical,0.781
U+00E9,é,LATIN SMALL LETTER E WITH ACUTE,True,False,Symmetrical,0.781
U+00EA,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,True,False,Symmetrical,0.784
U+00EB,ë,LATIN SMALL LETTER E WITH DIAERESIS,True,False,Symmetrical,0.897
